,address,chain_name,city,store_name,chain_code,store_code
709,בכניסה לקיבוץ יפעת,yellow,יפעת,מתחם יפעת -מימון אזו,7290644700005,345
711,בכניסה לקיבוץ תל יצחק כביש 553,מיני סופר אלונית,תל יצחק,תל יצחק,7290492000005,925
713,בכניסה לשפרעם ממערב,yellow,שפרעם,שפרעם עיר,7290644700005,321
715,בכניסה לתל שבע,yellow,תל שבע,תל-שבע,7290644700005,624
717,בלוך 2,גוד פארם,תל אביב,כיכר רבין,7290058197699,51
718,בלוך 23,BE,גבעתיים,בלוך גבעתיים,7290027600007,26
720,בלפור 127,סופר ספיר בשכונה,בת ים,בת ים,7290058156016,70
722,בלפור 25,שופרסל דיל,בת ים,בת ים- בלפור,7290027600007,199
724,בלפור 62,גוד פארם,בת ים,בת ים בלפור,7290058197699,145
726,בן איש חי 39,שפע ברכת השם קרוב לבית,בית שמש,בן איש חי בית שמש,7290058134977,22
728,בן אליעזר אריה 47א,ברכל,ירושלים,גילה,7290058160839,218
730,בן גוריון 1,ויקטורי,אשקלון,אשקלון מרכז,7290696200003,95
732,בן גוריון 11,סופר ברקת,גבעת שמואל,ברקת סיטי גבעת שמואל,7290875100001,65
734,בן גוריון 119,am:pm,בת ים,בן גוריון,7290492000005,529
736,בן גוריון 15,ויקטורי,באר שבע,באר שבע,7290696200003,68
738,בן גוריון 18,מחסני השוק בסיטי,גבעת שמואל,גבעת שמואל,7290661400001,83
